OBJECTID,Site Name,Address,NPL Status,Site type category,Site type subcategory,Enforcement agreement type,Agreement approval date,Money paid to EPA to do additional cleanup work,Reimbursable Past Costs to EPA,Est. Value of Cleanup Work,Work Party(ies),Type of cleanup work,Link to site profile page,x,y
81,Reich Farms,"Lakewood Rd, Pleasant Plains, NJ, 08753",Deleted,Waste Management,Unknown,Consent Decree,3/12/1990,,2952884.01,6000000,Bertha Reich<br>Rose Singer<br>Samuel Reich<br>Union Carbide Corporation,"PRP Remedial Design, PRP Remedial Design, PRP Remedial Action, PRP Remedial Action, PRP Long Term Response Action",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200662,-8261564.877273713,4867482.762197542
82,Diamond Alkali Co.,"80 Lister Ave, Newark, NJ, 07105",Final,Manufacturing/Processing/Maintenance,Chemicals and allied products,Consent Decree,11/19/1990,,1356223,10000000,,"PRP Remedial Design, PRP Remedial Action",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200613,-8252794.125913604,4974025.74845087
83,North Sea Municipal Landfill,"Majors Path, North Sea, NY, 11968",Deleted,Waste Management,Co-disposal landfill (municipal and industrial),Consent Decree,1/4/1991,,1262956,7000000,Southampton Town Hall,"PRP Remedial Design, PRP Remedial Action, Operations & Maintenance",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0202198,-8059685.756205711,5001898.535800059
84,Hooker (S Area),"Buffalo Ave, Niagara Falls, NY, 14303",Final,Waste Management,Industrial waste landfill,Consent Decree,4/12/1991,,,117000000,City of Niagara Falls-Dept of Envrn Serv<br>Occidental Chemical Corp.,"PRP Remedial Design, PRP Remedial Action",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0202150,-8794840.89791889,5323501.266074817
85,King of Prussia,"Piney Hollow Road, Winslow Township, NJ, 08095",Final,Waste Management,Industrial waste facility (non-generator),Unilateral Administrative Order,4/15/1991,,,17000000,"Cabot Corporation<br>Carpenter Tech. Corp.<br>Ford Electronics and Refrigeration Corp.<br>Johnson Matthey, Inc.<br>Reutgers-Nease Chemical Company","PRP Removal, PRP Remedial Design, PRP Remedial Design, PRP Remedial Action, PRP Remedial Action, PRP Long Term Response Action, Operations & Maintenance",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200551,-8336654.21527392,4811878.8379796045
86,Maywood Chemical Co.,"Rte 17 & Grove St, Maywood/Rochelle Park, NJ, 07607",Final,Manufacturing/Processing/Maintenance,Chemicals and allied products,Unilateral Administrative Order,5/2/1991,,,750000,Stepan Chemical,PRP Remedial Investigation/Feasibility Study,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200665,-8245356.759414211,4997072.676017326
87,South Brunswick Landfill,"New Road, South Brunswick, NJ, 08852",Deleted,Waste Management,Industrial waste landfill,Administrative Order on Consent,5/13/1991,,973446,500000,"Browning-Ferris Industries, Inc.",PRP Long Term Response Action,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200724,-8300877.355447359,4924647.114224659
88,Hooker Chemical & Plastics Corp./Ruco Polymer Corp.,"New South Road, Hicksville, NY, 11801",Final,Manufacturing/Processing/Maintenance,Plastics and rubber products,Unilateral Administrative Order,6/27/1991,,,1000000,Occidental Chemical Corporation<br>Ruco Polymer Corporation,"PRP Remedial Design, PRP Remedial Action",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0201477,-8182446.664262718,4976638.501860104
89,Cinnaminson Township (Block 702) Ground Water Contamination,"1017 Union Landing Road, Cinnaminson Township, NJ, 08077",Final,Other,Ground water plume site with no identifiable source,Unilateral Administrative Order,6/28/1991,,,20000000,"Sanitary Landfill, Inc.","PRP Remedial Design, PRP Remedial Design, PRP Remedial Design, PRP Remedial Action, PRP Remedial Action, PRP Long Term Response Action, Operations & Maintenance",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200995,-8347425.600522564,4868485.657783535
90,Kentucky Avenue Well Field,"Kentucky Ave, Horseheads, NY, 14845",Final,Other,Ground water plume site with no identifiable source,Unilateral Administrative Order,6/28/1991,,,15000000,Westinghouse Electric Corp.,"PRP Remedial Design, PRP Remedial Action, PRP Long Term Response Action",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0202142,-8552490.685417067,5182849.313803876
91,Port Washington Landfill,"West Shore Rd, Port Washington, NY, 11050",Final,Waste Management,Co-disposal landfill (municipal and industrial),Consent Decree,9/10/1991,,1010053,42500000,Town of North Hempstead,"PRP Remedial Design, PRP Remedial Design, PRP Remedial Design, PRP Remedial Design, PRP Remedial Design, PRP Remedial Action, PRP Remedial Action, PRP Remedial Action, PRP Remedial Action, Operations & Maintenance, Operations & Maintenance",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0202155,-8200535.1909607025,4985541.010378147
92,"Chemical Leaman Tank Lines, Inc.","Cedar Swamp & Cooper Rds, Bridgeport, NJ, 08014",Final,Other,"Transportation (e.g., railroad yards, airport, barge docking site)",Consent Decree,9/28/1991,,3749295,5400000,"Chemical Leaman Tank Lines, Inc.","PRP Remedial Design, PRP Remedial Action, PRP Long Term Response Action",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200327,-8386006.820961189,4836679.421643871
93,"Curcio Scrap Metal, Inc.","416 Lanza Ave, Saddle Brook Twp, NJ, 07662",Final,Recycling,Batteries/scrap metals/secondary smelting/precious metal recovery,Unilateral Administrative Order,9/30/1991,,,7000000,"Cirello Iron & Steel Company<br>Consolidated Edison Co. of NY Inc.<br>Curcio Scrap Metal, Inc.<br> SECO Corporation","PRP Remedial Design, PRP Remedial Action",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200273,-8249163.8859993415,4996233.281532621
94,Chemical Control,"23 South Front St, Elizabeth, NJ, 07202",Final,Waste Management,Industrial waste facility (non-generator),Consent Decree,10/29/1991,,7695754,11000000,,"PRP Remedial Design, PRP Remedial Action, Operations & Maintenance",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200037,-8259182.64017074,4959855.34183558
95,Lone Pine Landfill,"Burke Road, Freehold Township, NJ, 07728",Final,Waste Management,Co-disposal landfill (municipal and industrial),Consent Decree,1/6/1992,,907545,10300000,"3-M Corp C/O Mott & Associates<br>Air Products & Chemicals, Inc.<br>Akzo Chemicals, Inc.<br>Allied Chemical Corporation<br>Allied Chemical Corporation<br>Aluminum Company of America<br>American Cyanamid Co.<br>American Cyanamid Co.<br>American Flange Company<br>American Inks & Coatings Corporation<br>American National Can Company<br>American Standard<br>American Standard<br>Bankers Box Company<br>Eastern Plant<br>BASF Corp.<br>BASF Corporation<br>Bel Ray Company, Inc.<br>Benjamin Moore & Company<br>Ber Mar Manufacturing<br>Ber-Mar C/O Demov, Morris & Hammerling<br>Ber-Mar Manufacturers Corporation<br>Borden Chemical Co.<br>Borden Chemical Co.<br>Borden Chemical Co.<br>Bowen Engineering<br>Brockway Glass Co.<br>Brockway Inc. C/O Manta & Welge<br>Brockway, Inc.<br>Browning Ferris Industries<br>Browning-Ferris Industries, Inc.<br>Browning-Ferris Industries, Inc.<br>Carter-Wallace, Inc.<br>CECOS International<br>Cellu-Craft, Inc.<br>Cellu-Craft, Inc.<br>Centrastate Medical Center<br>Cerro Wire & Cable Co.<br>Charms Company<br>Chemcoat, Inc.<br>Chromalloy American C/O Hannoch Weisman<br>Chromalloy Corporation<br>Ciba-Geigy Corp.<br>Cities Service Oil and Gas Corp.<br>Coca-Cola Company<br>Colgate-Palmolive Company<br>Compounders, Inc.<br>Congoleum Corp C/O Dughi & Hewit<br>Congoleum Corporation<br>Continental Can Company<br>Converters Ink<br>Converters Ink Company<br>Custom Chemical Co Inc.<br>Custom Chemical Co Inc.<br>Decorative Industries, Inc.<br>Diamond Shamrock Corporation<br>Diamond Shamrock Corporation<br>Diamond Shamrock Corporation<br>Diamond Shamrock Corporation<br>E.R. Squibb & Sons, Inc.<br>E.R. Squibb & Sons, Inc.<br>Ecker Contracting & Roofing Co. Inc.<br>Engelhard Corporation<br>Englishtown Auction Sales Inc.<br>Environmental Waste Resources<br>Environmental Waste Resources<br>Freehold Raceway<br>Froehlich Bld & Const Company<br>General Foods Corporation<br>General Hose Products<br>General Motors Corporation<br>General Motors Corporation<br>General Motors Corporation<br>Gillette Company<br>GTE Corporation<br>GTE Sylvania, Inc.<br>Harmon Colors Corp C/O Mobay Chemical Co<br>Hecht Bros Trucking, Inc.<br>Hecht Bros., Inc. C/O Bumgardner, Hardin<br>Hexcel Fine Organic Inc.<br>Higgins Disposal Service Inc.<br>Higgins Disposal Service Inc.<br>Hoechst Celanese Corporation<br>Inland Steel Comp/Inland Steel Container<br>Inland Steel Container (Thorp, Reed)<br>Inland Steel Container Company<br>International Flavors & Fragnances, Inc.<br>International Flavors & Fragrances, Inc.<br>Intra-City Wastes C/O Schragger & Massar<br>Intra-City Wastes Material Company<br>J. Josephson Inc.<br>J. Josephson Inc.<br>J.M. Huber Corp<br>J.T. Baker Chemical Company<br>Jamesway Corporation<br>John L. Armitage & Company<br>John L. Armitage & Company<br>Johnson & Johnson<br>Johnson & Johnson<br>Jones Chemical Inc.<br>Jones Chemical Inc.<br>K Chemical Corporation<br>K Chemical Corporation<br>Kasco Construction Co., Inc.<br>Kirker Chemical Co.<br>L. E. Carpenter Co.<br>Dayco Corp.<br>L.E. Carpenter & Co.<br>Lightman Drum Co.<br>Lincoln Property Utility Co.<br>M & T Chemical Inc.<br>Mallory Battery C/O Stryzler, Tams<br>Mallory Battery Co.<br>Mallory Battery Co. (Dart & Kraft)<br>Manor Care, Inc.<br>Marlboro Psychiatric Hospital<br>Matlack Inc.<br>Matlack Inc.<br>Matlack Inc.<br>Maxwell House Division<br>Merck & Company<br>Mid America Engineers, Inc.<br>Millporf Company<br>Minnesota Mining & Mfg Co.<br>Monroe Chemical, Inc.<br>Monroe Chemical, Inc.<br>Monsanto Chemical Co.<br>National Waste Disposal, Inc.<br>Nepera Chemical Co.<br>Nepera, Inc. C/O Crowell & Moring<br>Nestle C/O Schmeltzer, Aptaker<br>Nestle C/O LeBoeuf, Lamb<br>Nestle Chocolate & Confection, Co. Inc.<br>Nestle Company, Inc.<br>New England Laminates C/O Parker Chapin<br>New England Laminates C/O Parker Chapin<br>New England Laminates Co.<br>New England Laminates Co.<br>New Jersey National Guard<br>Newco Chemical Waste Systems<br>Newco Waste Systems of New Jersey, Inc.<br>Oneida Packaging Products<br>Owens-Illinois, Inc.<br>Owens-Illinois, Inc.<br>Penwalt Corp.<br>Presto Lock Company<br>Public Service Electric & Gas Co.<br>Randolph Products Company<br>Recycling Ind. C/O Budd Larner<br>Recycling Industries, Inc.<br>Revlon, Inc.<br>Revlon, Inc.<br>Reynolds Metals Company<br>Rheem Manufacturing Co.<br>Rheem Manufacturing Company<br>Rheem Manufacturing Company<br>Rheem Manufacturing Company<br>Ridge Printing Co., Inc.<br>Sherwin Williams Co.<br>Silver Enterprises<br>Simon Wrecking Company<br>Smith Kline Beckman Corp.<br>Southland Corp.<br>Star Expansion Co.(Solomon & Rosenbaum)<br>Star Expansion Co.(Solomon & Rosenbaum)<br>Star Expansion Industries<br>Syntex Beauty Care<br>Syntex USA, Inc.<br>Technical Coatings Company<br>Tenneco, Inc.<br>Tenneco, Inc.<br>Tenneco, Inc.<br>Textron (Patterson-Sargent)<br>Textron Inc.<br>Transco Products Company<br>Tungsten Products Corporation<br>Tungsten Products Corporation<br>Twin Rivers Community Trust<br>Uniroyal, Inc.<br>Van Dorn Company<br>Vikoa, Inc.<br>Waste Disposal, Inc.<br>Westinghouse Electric Corp.<br>William J. Mehr. Esq.<br>Worthington Biochemical C/O Millipore<br>Worthington Diagnostic Systems, Inc.<br>XCEL Corp C/O Georgia-Pacific","PRP Remedial Investigation/Feasibility Study, PRP Remedial Design, PRP Remedial Action",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200558,-8274749.446443779,4895453.765860152
96,Myers Property,"Lower Kingtown Road, Franklin Township, NJ, 08822",Final,Manufacturing/Processing/Maintenance,Chemicals and allied products,Consent Decree,2/26/1992,,2700000,46000000,"Atochem North America, Inc.","PRP Remedial Design, PRP Remedial Design, PRP Remedial Design, PRP Remedial Action, PRP Remedial Action, PRP Remedial Action, PRP Long Term Response Action",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200774,-8342327.167844234,4952786.546263879
97,Endicott Village Well Field,"S. Grippen Avenue, Village of Endicott, NY, 13760",Final,Other,Ground water plume site with no identifiable source,Consent Decree,3/25/1992,,37142,376000,,"PRP Remedial Design, PRP Remedial Action",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0202264,-8469867.132960487,5173887.194679683
98,A. O. Polymer,"44 Station Road, Sparta Township, NJ, 07871",Final,Manufacturing/Processing/Maintenance,Plastics and rubber products,Unilateral Administrative Order,3/31/1992,,,32000000,IBM Corp,"PRP Remedial Design, PRP Remedial Design, PRP Remedial Action, PRP Remedial Action, Operations & Maintenance",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200290,-8307773.597902,5019431.6133477045
99,General Motors (Central Foundry Division),"Roosevelt Tourin Road, Massena, NY, 13662",Final,Manufacturing/Processing/Maintenance,Other,Unilateral Administrative Order,3/31/1992,,,78000000,General Motors Corporation,"PRP Remedial Design, PRP Remedial Design, PRP Remedial Action, PRP Remedial Action",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0201644,-8319215.126485229,5618985.495473144
100,General Motors (Central Foundry Division),"Roosevelt Tourin Road, Massena, NY, 13662",Final,Manufacturing/Processing/Maintenance,Other,Unilateral Administrative Order,8/18/1992,,,45000000,General Motors Corporation,"PRP Remedial Design, PRP Remedial Action",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0201644,-8319215.126485229,5618985.495473144
101,Sinclair Refinery,"S Brooklyn Ave, Wellsville, NY, 14895",Final,Waste Management,Industrial waste facility (non-generator),Unilateral Administrative Order,9/8/1992,,,13162600,Atlantic Richfield Company,"PRP Remedial Design, PRP Remedial Action, PRP Long Term Response Action",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0202093,-8676419.223613005,5177291.114977577
102,Hertel Landfill,"Rte 44/55 Bedell Ave & Tuckers, Plattekill, NY, 12528",Final,Waste Management,Co-disposal landfill (municipal and industrial),Unilateral Administrative Order,9/22/1992,,,8200000,"Dutchess Sanitation Services, Inc.<br>Ford Motor Company<br>Ford Motor Company<br>Hudson Valley Environmental Services, Inc.<br>Hudson Valley Environmental Services, Inc.<br>I.S.A. of New Jersey, Inc.<br>Joseph Fiorillo, Sr.<br>Joseph Fiorillo, Sr.<br>Western Publishing Company, Inc.","PRP Remedial Design, PRP Remedial Action, Operations & Maintenance",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0202267,-8241971.422379702,5114366.423014317
103,Kin-Buc Landfill,"Meadow Road, Edison Township, NJ, 08817",Final,Waste Management,Co-disposal landfill (municipal and industrial),Unilateral Administrative Order,11/19/1992,,,4100000,"Anthony Gaess<br>Chemical Waste Management, Inc.<br>Earthline Company<br>Filcrest Realty, Inc.<br>Inmar Associates, Inc.<br>Kin-Buc Inc.<br>Marvin H. Mahan<br>Mr. Robert Meagher<br>SCA Services, Inc.<br>Scientific Chemical Processing Inc.<br>Wastequid, Inc.<br>Wastequid, Inc.","PRP Remedial Design, PRP Remedial Action, PRP Long Term Response Action, Operations & Maintenance",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200346,-8279776.745967495,4937273.601913021
104,Fibers Public Supply Wells,"Rte 3, Jobos, PR, 00784",Final,Other,Ground water plume site with no identifiable source,Consent Decree,1/8/1993,,1923833,6686591,"American Home Products<br>Anaquest Caribe, Inc.<br>Chevron USA, Inc.<br>Phillips Petroleum Company","PRP Remedial Design, PRP Remedial Design, PRP Remedial Action, PRP Remedial Action, PRP Long Term Response Action, Operations & Maintenance",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0202559,-7363350.169960945,2033241.6186350756
105,Marathon Battery Corp.,"Kemble Avenue, Cold Springs, NY, 10516",Deleted,Manufacturing/Processing/Maintenance,Other,Consent Decree,4/1/1993,,10500000,100500000,"Department of The Army<br>Gould, Inc.<br>Marathon Battery Co.","PRP Remedial Action, PRP Remedial Action, PRP Remedial Action",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0201491,-8232601.660839628,5073913.044873125
106,"Facet Enterprises, Inc.","Rte 14, Elmira, NY, 14903",Final,Waste Management,Industrial waste facility (non-generator),Consent Decree,6/17/1993,,1672201.85,5000000,Purolator Products Co.,"PRP Remedial Design, PRP Remedial Action, PRP Long Term Response Action",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0201604,-8552583.971150357,5180848.011921793
107,Swope Oil & Chemical Co.,"8281 National Hwy, Pennsauken Township, NJ, 08110",Final,Recycling,"Chemicals/chemical waste (e.g., solvent recovery)",Consent Decree,7/29/1993,,2174728.44,2099000,"E. I. du Pont de Nemours and Company<br>Lilly Industrial Coatings Inc.<br>Minnesota Mining & Mfg Co.<br>NL Industries, Inc.<br>Rohm & Haas Co.<br>SPS Tech/Standard Pressed Steel (G)<br>T.R.W. Corp.","PRP Remedial Design, PRP Remedial Action, Operations & Maintenance",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200299,-8352824.595826043,4864285.800834057
108,Endicott Village Well Field,"S. Grippen Avenue, Village of Endicott, NY, 13760",Final,Other,Ground water plume site with no identifiable source,Administrative Order on Consent,9/22/1993,,62500,85834,"George Industries, Inc.<br>Thunder Projects, Inc.","PRP Remedial Design, PRP Remedial Action, PRP Long Term Response Action",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0202264,-8469867.132960487,5173887.194679683
109,Endicott Village Well Field,"S. Grippen Avenue, Village of Endicott, NY, 13760",Final,Other,Ground water plume site with no identifiable source,Consent Decree,1/18/1994,,1620086,16900000,,"PRP Remedial Design, PRP Remedial Action, PRP Long Term Response Action, Operations & Maintenance, Preliminary Assessment",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0202264,-8469867.132960487,5173887.194679683
110,Rowe Industries Ground Water Contamination,"Sag Harbor-Bridgehampton Turnpike, Noyack/Sag Harbor, NY, 11963",Final,Other,Ground water plume site with no identifiable source,Consent Decree,4/20/1994,,1982450,8000000,"Nabisco Brands Inc.<br>Sag Harbor Industries, Inc.","PRP Remedial Design, PRP Remedial Design, PRP Remedial Action, PRP Remedial Action, PRP Long Term Response Action",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0202330,-8048399.184353674,5009802.196937504
111,Ciba-Geigy Corp.,"Rte #37, Toms River, NJ, 08753",Final,Manufacturing/Processing/Maintenance,Chemicals and allied products,Consent Decree,4/21/1994,,8400000,60000000,BASF Corp.,"PRP Remedial Design, PRP Remedial Action, PRP Remedial Action, PRP Long Term Response Action, Operations & Maintenance",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200078,-8263947.114376692,4864009.747934317
112,Rockaway Borough Well Field,"Jackson, Union & Garden Sts, Rockaway Township, NJ, 07866",Final,Other,Ground water plume site with no identifiable source,Consent Decree,10/26/1994,,1321746,17800000,Morton Thiokol Corp.,"PRP Remedial Design, PRP Remedial Action, PRP Long Term Response Action",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200766,-8295034.306695108,4998461.664583813
113,Caldwell Trucking Co.,"222 Passaic Avenue, Fairfield, NJ, 07004",Final,Waste Management,Industrial waste facility (non-generator),Consent Decree,11/29/1994,,2460000,32000000,E. I. du Pont de Nemours and Company,"PRP Remedial Design, PRP Remedial Action, PRP Remedial Action, PRP Long Term Response Action",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200340,-8267853.203989133,4994126.1309562195
114,Niagara County Refuse,"Witmer Rd, Wheatfield, NY, 14150",Deleted,Waste Management,Co-disposal landfill (municipal and industrial),Consent Decree,2/3/1995,,519465,20151300,,"PRP Remedial Design, PRP Remedial Action",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0201266,-8783788.096997518,5321192.720308695
115,Ewan Property,"Wallingford Way, Shamong Township, NJ, 08088",Final,Waste Management,Industrial waste facility (non-generator),Unilateral Administrative Order,5/19/1995,,,30000000,"Air Products & Chemicals, Inc.<br>Alco Standard Corporation<br>Aluminum Shapes, Inc.<br>Chrysler Corporation<br>Chrysler Corporation<br>Chrysler Corporation<br>Colonial Heights Packaging, Inc.<br>Continental Can Company<br>ICI Americas, Inc.<br>Kiwi Brands Inc.<br>Kiwi Brands Inc. C/O Sara Lee Corp.<br>Richardson Ink Corp.<br>Scott Paper Company<br>Sonoco Products Co.<br>Stepan Chemical Co.<br>Synthane Taylor Corp<br>Union Carbide Corp.<br>USG Corporation (Durabond Products Company)<br>USS Corporation (U.S. Steel Company)<br>Whiting Patterson Co.<br>Wilmington Chemical Company","PRP Remedial Design, PRP Remedial Action, PRP Long Term Response Action",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200791,-8317729.901839063,4837324.20410281
116,Juncos Landfill,"Bo Ceiba Norte, Road 189, Juncos, PR, 00777",Final,Waste Management,Municipal solid waste landfill,Unilateral Administrative Order,9/29/1995,,,500000,"Becton-Dickinson & Company<br>Browning-Ferris Industries, Inc.<br>Chesebrough-Ponds, Inc.<br>General Electric Company<br>Municipality of Juncos<br>Puerto Rico Development& Housing Improvement Administration<br>Puerto Rico Land Administration",Groundwater Monitoring,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0202511,-7336922.922846625,2063690.3258819282
117,Cortese Landfill,"South of Route 97, Vil of Narrowsburg, NY, 12764",Final,Waste Management,Co-disposal landfill (municipal and industrial),Consent Decree,5/3/1996,,259781.88,10400000,"Allied Signal<br>Cellu-Craft, Inc.<br>Consolidated Edison Co. of NY Inc.<br>Continental Can Company<br>Cortese Construction Corp.<br>Custom Chemical Co Inc.<br>E. I. du Pont de Nemours and Company<br>E. I. du Pont de Nemours and Company<br>Falstrom Co.<br>Flexibar Corporation<br>Ganes Chemical Works, Inc.<br>Halocarbon Products Corp.<br>I.C.I Americas Inc.<br>ICI Americas, Inc.<br>Inmont Corporation<br>INX Printing Ink Corp.<br>Kay Fries Chemicals, Inc.<br>Keuffel & Esser Co.<br>Marisol Inc.<br>National Starch & Chemical Co.<br>Nicholas Sanitation<br>Occidental Chemical Corporation<br>Okonite Co.<br>Oneida Packaging Products<br>R & R Sanitation Service<br>Radiac Research Corp.<br>Rhone Poulenc Inc.<br>SCA Services, Inc.<br>Stepan Chemical Co.<br>Town of Tusten","PRP Remedial Design, PRP Remedial Design, PRP Remedial Design, PRP Remedial Action, PRP Remedial Action, PRP Remedial Action, PRP Long Term Response Action",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0201867,-8356197.576397073,5101331.950689843
118,York Oil Co.,"N Lawrence Rd, Moira, NY, 12957",Final,Recycling,Waste/used oil,Consent Decree,8/20/1996,,4000000,17000000,Aluminum Company of America<br>Dept of Justice/Env Def Sect-Rm. 7118<br>General Electric Company,"PRP Remedial Design, PRP Remedial Action, PRP Remedial Action, PRP Long Term Response Action",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0201202,-8301662.1578574525,5593620.894547986
119,Bridgeport Rental & Oil Services,"Cedar Swamp Rd, Bridgeport, NJ, 08014",Final,Recycling,Waste/used oil,Consent Decree,1/17/1997,8000000,100904323,83000000,,"PRP Remedial Investigation/Feasibility Study, PRP Remedial Design, PRP Remedial Design, PRP Remedial Action, PRP Remedial Action, PRP Long Term Response Action",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200364,-8384768.948223568,4837163.077024964
120,Nascolite Corp.,"Doris Ave, Millville, NJ, 08332",Final,Manufacturing/Processing/Maintenance,Plastics and rubber products,Consent Decree,4/21/1997,,800000,9200637,"American Optical Corporation<br>CYRO Industries<br>Cytec Industries, Inc.<br>E. I. du Pont de Nemours and Company","PRP Remedial Action, PRP Long Term Response Action",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200202,-8352610.973723206,4782332.545750556
121,Niagara Mohawk Power Corp. (Saratoga Springs Plant),"East Avenue & Excelcior Rd, Saratoga Springs, NY, 12866",Final,Manufacturing/Processing/Maintenance,Coal gasification,Consent Decree,5/15/1997,,1582872,14000000,National Grid<br>Niagara Mohawk Power Company,"PRP Remedial Design, PRP Remedial Action, Operations & Maintenance",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0202182,-8212719.109228024,5325680.813129657
